Organization_Site,Country,Data_type,Data_level,Age_range_low,Age_range_high,Numerator,Denominator,Percent,Estimates,TB_Type1,TB_Type2,TB_Type3,TB_Type4,Gender,Population1,Population2,Population3,CDR,Comments,Data_Year_Min,Data_Year_Max,Data_source
South Africa (National),South Africa,TB incidence,National,0,100,305567,47010307,0.0065,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
  ",2004,2004,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis"
South Africa (National),South Africa,TB incidence,National,0,100,344106,47660111,0.00722,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
  ",2005,2005,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis"
South Africa (National),South Africa,TB incidence,National,0,100,383784,48274717,0.00795,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
  ",2006,2006,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,394061,48890943,0.00806,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
  ",2007,2007,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,420131,49543750,0.00848,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
  ",2008,2008,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 

"
South Africa (National),South Africa,TB incidence,National,0,100,417386,50226956,0.00831,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
  ",2009,2009,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,421838,50885163,0.00829,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
  ",2010,2010,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis"
South Africa (National),South Africa,TB incidence,National,0,100,431958,51607885,0.00837,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
  ",2011,2011,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis"
South Africa (National),South Africa,TB incidence,National,0,100,404540,52266150,0.00774,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
  ",2012,2012,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis"
South Africa (National),South Africa,TB incidence,National,0,100,45573,6338387,0.00719,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
Eastern Cape province",2004,2004,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis"
South Africa (National),South Africa,TB incidence,National,0,100,50383,6369532,0.00791,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
Eastern Cape province",2005,2005,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,59568,6398281,0.00931,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
Eastern Cape province",2006,2006,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,62022,6433817,0.00964,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
Eastern Cape province",2007,2007,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,74398,6458160,0.01152,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
Eastern Cape province",2008,2008,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,71183,6488879,0.01097,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
Eastern Cape province",2009,2009,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,70871,6519871,0.01087,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
Eastern Cape province",2010,2010,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,73020,6554758,0.01114,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
Eastern Cape province",2011,2011,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,72101,6584566,0.01095,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
Eastern Cape province
 ",2012,2012,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,17773,2725920,0.00652,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
Free State province
 ",2004,2004,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,18003,2727727,0.0066,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
Free State province
 ",2005,2005,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,19291,2728571,0.00707,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
Free State province
 ",2006,2006,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,19030,2730273,0.00697,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
Free State province
 ",2007,2007,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,20763,2735573,0.00759,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
Free State province
 ",2008,2008,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,19918,2735989,0.00728,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
Free State province
 ",2009,2009,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,19804,2739143,0.00723,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
Free State province
 ",2010,2010,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,18965,2744573,0.00691,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
Free State province
 ",2011,2011,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,18725,2749633,0.00681,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
Free State province
 ",2012,2012,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,56255,10495336,0.00536,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
Gauteng province
 ",2004,2004,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,72537,11091284,0.00654,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
Gauteng province
 ",2005,2005,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,72537,10957251,0.00662,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
Gauteng province
 ",2006,2006,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,69435,11199194,0.0062,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
Gauteng province
 ",2007,2007,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,71944,11437838,0.00629,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
Gauteng province
 ",2008,2008,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,68904,11698472,0.00589,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
Gauteng province
 ",2009,2009,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,69031,11943080,0.00578,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
Gauteng province
 ",2010,2010,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,66586,12195238,0.00546,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
Gauteng province
 ",2011,2011,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,58108,12469528,0.00466,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
Gauteng province
 ",2012,2012,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,66635,9519286,0.007,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
KwaZulu-Natal (estimated incidence imputed)
 ",2004,2004,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,78995,9610097,0.00822,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
KwaZulu-Natal (estimated incidence imputed)
 ",2005,2005,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,89471,9714549,0.00921,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
KwaZulu-Natal (estimated incidence imputed)
 ",2006,2006,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,98278,9817982,0.01001,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
KwaZulu-Natal (estimated incidence imputed)
 ",2007,2007,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,102073,9919631,0.01029,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
KwaZulu-Natal (estimated incidence imputed)
 ",2008,2008,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,109560,10023788,0.01093,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
KwaZulu-Natal (estimated incidence imputed)
 ",2009,2009,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
South Africa (National),South Africa,TB incidence,National,0,100,121111,10126338,0.01196,,"Definite (e.g., culture positive)",,,,Both,Community,,,,"
KwaZulu-Natal (estimated incidence imputed)
 ",2010,2010,"
Nanoo 2015 Nationwide and regional incidence of microbiologically confirmed pulmonary tuberculosis in South Africa, 2004-2012: a time series analysis 
"
